date,city,tourist_footfall
2018-09-23,Jaipur,3832
2018-09-24,Jaipur,3239
2018-09-25,Jaipur,2677
2018-09-26,Jaipur,3149
2018-09-27,Jaipur,2576
2018-09-28,Jaipur,2717
2018-09-29,Jaipur,3457
2018-09-30,Jaipur,2735
2018-10-01,Jaipur,4448
2018-10-02,Jaipur,4850
2018-10-03,Jaipur,4556
2018-10-04,Jaipur,5008
2018-10-05,Jaipur,4254
2018-10-06,Jaipur,5003
2018-10-07,Jaipur,4545
2018-10-08,Jaipur,4743
2018-10-09,Jaipur,5207
2018-10-10,Jaipur,8207
2018-10-11,Jaipur,9257
2018-10-12,Jaipur,8643
2018-10-13,Jaipur,10741
2018-10-14,Jaipur,9905
2018-10-15,Jaipur,7331
2018-10-16,Jaipur,8059
2018-10-17,Jaipur,9548
2018-10-18,Jaipur,9189
2018-10-19,Jaipur,5578
2018-10-20,Jaipur,4978
2018-10-21,Jaipur,5412
2018-10-22,Jaipur,4732
2018-10-23,Jaipur,5309
2018-10-24,Jaipur,5105
2018-10-25,Jaipur,4774
2018-10-26,Jaipur,4758
2018-10-27,Jaipur,6146
2018-10-28,Jaipur,5643
2018-10-29,Jaipur,4912
2018-10-30,Jaipur,4185
2018-10-31,Jaipur,4427
2018-11-01,Jaipur,4922
2018-11-02,Jaipur,3763
2018-11-03,Jaipur,6418
2018-11-04,Jaipur,5626
2018-11-05,Jaipur,5202
2018-11-06,Jaipur,4279
2018-11-07,Jaipur,4443
2018-11-08,Jaipur,4516
2018-11-09,Jaipur,5093
2018-11-10,Jaipur,5464
2018-11-11,Jaipur,6647
2018-11-12,Jaipur,4673
2018-11-13,Jaipur,5280
2018-11-14,Jaipur,5574
2018-11-15,Jaipur,5163
2018-11-16,Jaipur,4183
2018-11-17,Jaipur,6025
2018-11-18,Jaipur,6251
2018-11-19,Jaipur,5295
2018-11-20,Jaipur,4753
2018-11-21,Jaipur,4568
2018-11-22,Jaipur,4997
2018-11-23,Jaipur,4224
2018-11-24,Jaipur,5222
2018-11-25,Jaipur,6025
2018-11-26,Jaipur,5359
2018-11-27,Jaipur,4886
2018-11-28,Jaipur,5372
2018-11-29,Jaipur,4806
2018-11-30,Jaipur,4468
2018-12-01,Jaipur,6544
2018-12-02,Jaipur,6039
2018-12-03,Jaipur,5226
2018-12-04,Jaipur,4785
2018-12-05,Jaipur,4717
2018-12-06,Jaipur,4082
2018-12-07,Jaipur,3977
2018-12-08,Jaipur,6184
2018-12-09,Jaipur,4635
2018-12-10,Jaipur,4056
2018-12-11,Jaipur,3934
2018-12-12,Jaipur,5308
2018-12-13,Jaipur,4066
2018-12-14,Jaipur,4978
2018-12-15,Jaipur,5575
2018-12-16,Jaipur,5536
2018-12-17,Jaipur,4356
2018-12-18,Jaipur,4309
2018-12-19,Jaipur,4447
2018-12-20,Jaipur,4376
2018-12-21,Jaipur,5269
2018-12-22,Jaipur,6302
2018-12-23,Jaipur,5020
2018-12-24,Jaipur,4062
2018-12-25,Jaipur,4316
2018-12-26,Jaipur,4307
2018-12-27,Jaipur,4861
2018-12-28,Jaipur,4989
2018-12-29,Jaipur,5494
2018-12-30,Jaipur,4823
2018-12-31,Jaipur,4496
2019-01-01,Jaipur,4538
2019-01-02,Jaipur,5112
2019-01-03,Jaipur,4531
2019-01-04,Jaipur,4492
2019-01-05,Jaipur,5498
2019-01-06,Jaipur,5253
2019-01-07,Jaipur,4639
2019-01-08,Jaipur,4600
2019-01-09,Jaipur,4736
2019-01-10,Jaipur,8075
2019-01-11,Jaipur,8629
2019-01-12,Jaipur,10415
2019-01-13,Jaipur,9035
2019-01-14,Jaipur,9824
2019-01-15,Jaipur,9394
2019-01-16,Jaipur,7682
2019-01-17,Jaipur,8332
2019-01-18,Jaipur,9572
2019-01-19,Jaipur,9635
2019-01-20,Jaipur,10296
2019-01-21,Jaipur,4843
2019-01-22,Jaipur,3998
2019-01-23,Jaipur,5312
2019-01-24,Jaipur,4911
2019-01-25,Jaipur,4129
2019-01-26,Jaipur,6272
2019-01-27,Jaipur,4944
2019-01-28,Jaipur,5377
2019-01-29,Jaipur,3934
2019-01-30,Jaipur,4818
2019-01-31,Jaipur,5408
2019-02-01,Jaipur,3968
2019-02-02,Jaipur,5452
2019-02-03,Jaipur,5299
2019-02-04,Jaipur,4150
2019-02-05,Jaipur,4231
2019-02-06,Jaipur,5284
2019-02-07,Jaipur,5019
2019-02-08,Jaipur,4141
2019-02-09,Jaipur,4815
2019-02-10,Jaipur,5190
2019-02-11,Jaipur,3946
2019-02-12,Jaipur,4520
2019-02-13,Jaipur,4854
2019-02-14,Jaipur,4790
2019-02-15,Jaipur,4481
2019-02-16,Jaipur,5435
2019-02-17,Jaipur,5664
2019-02-18,Jaipur,4891
2019-02-19,Jaipur,5278
2019-02-20,Jaipur,4865
2019-02-21,Jaipur,5443
2019-02-22,Jaipur,5163
2019-02-23,Jaipur,6516
2019-02-24,Jaipur,6716
2019-02-25,Jaipur,5442
2019-02-26,Jaipur,5017
2019-02-27,Jaipur,4373
2019-02-28,Jaipur,3969
2019-03-01,Jaipur,4995
2019-03-02,Jaipur,5840
2019-03-03,Jaipur,5832
2019-03-04,Jaipur,5218
2019-03-05,Jaipur,5265
2019-03-06,Jaipur,4751
2019-03-07,Jaipur,4131
2019-03-08,Jaipur,4702
2019-03-09,Jaipur,6707
2019-03-10,Jaipur,9216
2019-03-11,Jaipur,9669
2019-03-12,Jaipur,8311
2019-03-13,Jaipur,9396
2019-03-14,Jaipur,9244
2019-03-15,Jaipur,8824
2019-03-16,Jaipur,10081
2019-03-17,Jaipur,9651
2019-03-18,Jaipur,4146
2019-03-19,Jaipur,4568
2019-03-20,Jaipur,5332
2019-03-21,Jaipur,5115
2019-03-22,Jaipur,4125
2019-03-23,Jaipur,6137
2019-03-24,Jaipur,5910
2019-03-25,Jaipur,3945
2019-03-26,Jaipur,4122
2019-03-27,Jaipur,4630
2019-03-28,Jaipur,4690
2019-03-29,Jaipur,4730
2019-03-30,Jaipur,5333
2019-03-31,Jaipur,6393
2019-04-01,Jaipur,1924
2019-04-02,Jaipur,1827
2019-04-03,Jaipur,1520
2019-04-04,Jaipur,1775
2019-04-05,Jaipur,1685
2019-04-06,Jaipur,1745
2019-04-07,Jaipur,2323
2019-04-08,Jaipur,1258
2019-04-09,Jaipur,1236
2019-04-10,Jaipur,1175
2019-04-11,Jaipur,1932
2019-04-12,Jaipur,1635
2019-04-13,Jaipur,2031
2019-04-14,Jaipur,1682
2019-04-15,Jaipur,1675
2019-04-16,Jaipur,1444
2019-04-17,Jaipur,1599
2019-04-18,Jaipur,1168
2019-04-19,Jaipur,1682
2019-04-20,Jaipur,2160
2019-04-21,Jaipur,1884
2019-04-22,Jaipur,1272
2019-04-23,Jaipur,1519
2019-04-24,Jaipur,1422
2019-04-25,Jaipur,1858
2019-04-26,Jaipur,1977
2019-04-27,Jaipur,1807
2019-04-28,Jaipur,2300
2019-04-29,Jaipur,1564
2019-04-30,Jaipur,1250
2019-05-01,Jaipur,1471
2019-05-02,Jaipur,1788
2019-05-03,Jaipur,1809
2019-05-04,Jaipur,1980
2019-05-05,Jaipur,2045
2019-05-06,Jaipur,1401
2019-05-07,Jaipur,1858
2019-05-08,Jaipur,1456
2019-05-09,Jaipur,1724
2019-05-10,Jaipur,1787
2019-05-11,Jaipur,2286
2019-05-12,Jaipur,1904
2019-05-13,Jaipur,1329
2019-05-14,Jaipur,2046
2019-05-15,Jaipur,1749
2019-05-16,Jaipur,1442
2019-05-17,Jaipur,1343
2019-05-18,Jaipur,1858
2019-05-19,Jaipur,1703
2019-05-20,Jaipur,1224
2019-05-21,Jaipur,1745
2019-05-22,Jaipur,1660
2019-05-23,Jaipur,1802
2019-05-24,Jaipur,1762
2019-05-25,Jaipur,1858
2019-05-26,Jaipur,1880
2019-05-27,Jaipur,1761
2019-05-28,Jaipur,1800
2019-05-29,Jaipur,1874
2019-05-30,Jaipur,1788
2019-05-31,Jaipur,1802
2019-06-01,Jaipur,1852
2019-06-02,Jaipur,1735
2019-06-03,Jaipur,1572
2019-06-04,Jaipur,1542
2019-06-05,Jaipur,1523
2019-06-06,Jaipur,1531
2019-06-07,Jaipur,1754
2019-06-08,Jaipur,2051
2019-06-09,Jaipur,2101
2019-06-10,Jaipur,1626
2019-06-11,Jaipur,1752
2019-06-12,Jaipur,1699
2019-06-13,Jaipur,1294
2019-06-14,Jaipur,1474
2019-06-15,Jaipur,1540
2019-06-16,Jaipur,1740
2019-06-17,Jaipur,1888
2019-06-18,Jaipur,1661
2019-06-19,Jaipur,1829
2019-06-20,Jaipur,1741
2019-06-21,Jaipur,1761
2019-06-22,Jaipur,2072
2019-06-23,Jaipur,1913
2019-06-24,Jaipur,1566
2019-06-25,Jaipur,1633
2019-06-26,Jaipur,1725
2019-06-27,Jaipur,1540
2019-06-28,Jaipur,1676
2019-06-29,Jaipur,2020
2019-06-30,Jaipur,1771
2019-07-01,Jaipur,2548
2019-07-02,Jaipur,2499
2019-07-03,Jaipur,2593
2019-07-04,Jaipur,3239
2019-07-05,Jaipur,3254
2019-07-06,Jaipur,3830
2019-07-07,Jaipur,3943
2019-07-08,Jaipur,2282
2019-07-09,Jaipur,2645
2019-07-10,Jaipur,5757
2019-07-11,Jaipur,6037
2019-07-12,Jaipur,5397
2019-07-13,Jaipur,5764
2019-07-14,Jaipur,5552
2019-07-15,Jaipur,4765
2019-07-16,Jaipur,4815
2019-07-17,Jaipur,5819
2019-07-18,Jaipur,3330
2019-07-19,Jaipur,2625
2019-07-20,Jaipur,2769
2019-07-21,Jaipur,3551
2019-07-22,Jaipur,2822
2019-07-23,Jaipur,3311
2019-07-24,Jaipur,3083
2019-07-25,Jaipur,3126
2019-07-26,Jaipur,3180
2019-07-27,Jaipur,3671
2019-07-28,Jaipur,2898
2019-07-29,Jaipur,2528
2019-07-30,Jaipur,2799
2019-07-31,Jaipur,2810
2019-08-01,Jaipur,3011
2019-08-02,Jaipur,2834
2019-08-03,Jaipur,3299
2019-08-04,Jaipur,3324
2019-08-05,Jaipur,3175
2019-08-06,Jaipur,3526
2019-08-07,Jaipur,3250
2019-08-08,Jaipur,2701
2019-08-09,Jaipur,2626
2019-08-10,Jaipur,6301
2019-08-11,Jaipur,6485
2019-08-12,Jaipur,5576
2019-08-13,Jaipur,5617
2019-08-14,Jaipur,5290
2019-08-15,Jaipur,5082
2019-08-16,Jaipur,5601
2019-08-17,Jaipur,7159
2019-08-18,Jaipur,3261
2019-08-19,Jaipur,2462
2019-08-20,Jaipur,3156
2019-08-21,Jaipur,2595
2019-08-22,Jaipur,2716
2019-08-23,Jaipur,2823
2019-08-24,Jaipur,3356
2019-08-25,Jaipur,4038
2019-08-26,Jaipur,2788
2019-08-27,Jaipur,2479
2019-08-28,Jaipur,3025
2019-08-29,Jaipur,2508
2019-08-30,Jaipur,2921
2019-08-31,Jaipur,3066
2019-09-01,Jaipur,3058
2019-09-02,Jaipur,2745
2019-09-03,Jaipur,3110
2019-09-04,Jaipur,3001
2019-09-05,Jaipur,2378
2019-09-06,Jaipur,2440
2019-09-07,Jaipur,3692
2019-09-08,Jaipur,3521
2019-09-09,Jaipur,2785
2019-09-10,Jaipur,2626
2019-09-11,Jaipur,2732
2019-09-12,Jaipur,2332
2019-09-13,Jaipur,3666
2019-09-14,Jaipur,3219
2019-09-15,Jaipur,3060
2019-09-16,Jaipur,3006
2019-09-17,Jaipur,2683
2019-09-18,Jaipur,3341
2019-09-19,Jaipur,3034
2019-09-20,Jaipur,3192
2019-09-21,Jaipur,3387
2019-09-22,Jaipur,3214
2019-09-23,Jaipur,2398
2019-09-24,Jaipur,3033
2019-09-25,Jaipur,2938
2019-09-26,Jaipur,2774
2019-09-27,Jaipur,2629
2019-09-28,Jaipur,3328
2019-09-29,Jaipur,3680
2019-09-30,Jaipur,2963
2019-10-01,Jaipur,5601
2019-10-02,Jaipur,5201
2019-10-03,Jaipur,4848
2019-10-04,Jaipur,4263
2019-10-05,Jaipur,6362
2019-10-06,Jaipur,6621
2019-10-07,Jaipur,5394
2019-10-08,Jaipur,4848
2019-10-09,Jaipur,4826
2019-10-10,Jaipur,9158
2019-10-11,Jaipur,7735
2019-10-12,Jaipur,9205
2019-10-13,Jaipur,9193
2019-10-14,Jaipur,10235
2019-10-15,Jaipur,7754
2019-10-16,Jaipur,9055
2019-10-17,Jaipur,7655
2019-10-18,Jaipur,7895
2019-10-19,Jaipur,6646
2019-10-20,Jaipur,5829
2019-10-21,Jaipur,5644
2019-10-22,Jaipur,4455
2019-10-23,Jaipur,5132
2019-10-24,Jaipur,5442
2019-10-25,Jaipur,4508
2019-10-26,Jaipur,5958
2019-10-27,Jaipur,6228
2019-10-28,Jaipur,5365
2019-10-29,Jaipur,5583
2019-10-30,Jaipur,5273
2019-10-31,Jaipur,5527
2019-11-01,Jaipur,5179
2019-11-02,Jaipur,4965
2019-11-03,Jaipur,5732
2019-11-04,Jaipur,4395
2019-11-05,Jaipur,5048
2019-11-06,Jaipur,5706
2019-11-07,Jaipur,4605
2019-11-08,Jaipur,3989
2019-11-09,Jaipur,6855
2019-11-10,Jaipur,5673
2019-11-11,Jaipur,5465
2019-11-12,Jaipur,4987
2019-11-13,Jaipur,4557
2019-11-14,Jaipur,5053
2019-11-15,Jaipur,4527
2019-11-16,Jaipur,5512
2019-11-17,Jaipur,6600
2019-11-18,Jaipur,4476
2019-11-19,Jaipur,4601
2019-11-20,Jaipur,4667
2019-11-21,Jaipur,4966
2019-11-22,Jaipur,4686
2019-11-23,Jaipur,6621
2019-11-24,Jaipur,5903
2019-11-25,Jaipur,4169
2019-11-26,Jaipur,4897
2019-11-27,Jaipur,5159
2019-11-28,Jaipur,5534
2019-11-29,Jaipur,4618
2019-11-30,Jaipur,5544
2019-12-01,Jaipur,6191
2019-12-02,Jaipur,4555
2019-12-03,Jaipur,4275
2019-12-04,Jaipur,5099
2019-12-05,Jaipur,5032
2019-12-06,Jaipur,5482
2019-12-07,Jaipur,4988
2019-12-08,Jaipur,5920
2019-12-09,Jaipur,4557
2019-12-10,Jaipur,4408
2019-12-11,Jaipur,4922
2019-12-12,Jaipur,4439
2019-12-13,Jaipur,5618
2019-12-14,Jaipur,5135
2019-12-15,Jaipur,5223
2019-12-16,Jaipur,4635
2019-12-17,Jaipur,4604
2019-12-18,Jaipur,4886
2019-12-19,Jaipur,5531
2019-12-20,Jaipur,5615
2019-12-21,Jaipur,5690
2019-12-22,Jaipur,5915
2019-12-23,Jaipur,4168
2019-12-24,Jaipur,4274
2019-12-25,Jaipur,4206
2019-12-26,Jaipur,5265
2019-12-27,Jaipur,4827
2019-12-28,Jaipur,5757
2019-12-29,Jaipur,5642
2019-12-30,Jaipur,4523
2019-12-31,Jaipur,5279
2020-01-01,Jaipur,4516
2020-01-02,Jaipur,4703
2020-01-03,Jaipur,5010
2020-01-04,Jaipur,5505
2020-01-05,Jaipur,5263
2020-01-06,Jaipur,5501
2020-01-07,Jaipur,4750
2020-01-08,Jaipur,5115
2020-01-09,Jaipur,5035
2020-01-10,Jaipur,8838
2020-01-11,Jaipur,9432
2020-01-12,Jaipur,10243
2020-01-13,Jaipur,8720
2020-01-14,Jaipur,8553
2020-01-15,Jaipur,8737
2020-01-16,Jaipur,10238
2020-01-17,Jaipur,8108
2020-01-18,Jaipur,9244
2020-01-19,Jaipur,9342
2020-01-20,Jaipur,10207
2020-01-21,Jaipur,5347
2020-01-22,Jaipur,4831
2020-01-23,Jaipur,5173
2020-01-24,Jaipur,5225
2020-01-25,Jaipur,5651
2020-01-26,Jaipur,5538
2020-01-27,Jaipur,4562
2020-01-28,Jaipur,4263
2020-01-29,Jaipur,4594
2020-01-30,Jaipur,4339
2020-01-31,Jaipur,4645
2020-02-01,Jaipur,5903
2020-02-02,Jaipur,6484
2020-02-03,Jaipur,4703
2020-02-04,Jaipur,5429
2020-02-05,Jaipur,4997
2020-02-06,Jaipur,5158
2020-02-07,Jaipur,5211
2020-02-08,Jaipur,5656
2020-02-09,Jaipur,6614
2020-02-10,Jaipur,5114
2020-02-11,Jaipur,4339
2020-02-12,Jaipur,5683
2020-02-13,Jaipur,5692
2020-02-14,Jaipur,4955
2020-02-15,Jaipur,6292
2020-02-16,Jaipur,5842
2020-02-17,Jaipur,4398
2020-02-18,Jaipur,4786
2020-02-19,Jaipur,5559
2020-02-20,Jaipur,5635
2020-02-21,Jaipur,4677
2020-02-22,Jaipur,5624
2020-02-23,Jaipur,6315
2020-02-24,Jaipur,5326
2020-02-25,Jaipur,4441
2020-02-26,Jaipur,5534
2020-02-27,Jaipur,4937
2020-02-28,Jaipur,4613
2020-02-29,Jaipur,6525
2020-03-01,Jaipur,5738
2020-03-02,Jaipur,4981
2020-03-03,Jaipur,5268
2020-03-04,Jaipur,4882
2020-03-05,Jaipur,4606
2020-03-06,Jaipur,4811
2020-03-07,Jaipur,5941
2020-03-08,Jaipur,5908
2020-03-09,Jaipur,5008
2020-03-10,Jaipur,9816
2020-03-11,Jaipur,8415
2020-03-12,Jaipur,7555
2020-03-13,Jaipur,7502
2020-03-14,Jaipur,10578
2020-03-15,Jaipur,9184
2020-03-16,Jaipur,8287
2020-03-17,Jaipur,8058
2020-03-18,Jaipur,5452
2020-03-19,Jaipur,5008
2020-03-20,Jaipur,5058
2020-03-21,Jaipur,5758
2020-03-22,Jaipur,5969
2020-03-23,Jaipur,5483
2020-03-24,Jaipur,4217
2020-03-25,Jaipur,4190
2020-03-26,Jaipur,5232
2020-03-27,Jaipur,4639
2020-03-28,Jaipur,6137
2020-03-29,Jaipur,5638
2020-03-30,Jaipur,5176
2020-03-31,Jaipur,4641
2020-04-01,Jaipur,1721
2020-04-02,Jaipur,1864
2020-04-03,Jaipur,1533
2020-04-04,Jaipur,1859
2020-04-05,Jaipur,1913
2020-04-06,Jaipur,1715
2020-04-07,Jaipur,1759
2020-04-08,Jaipur,1490
2020-04-09,Jaipur,1633
2020-04-10,Jaipur,1587
2020-04-11,Jaipur,1763
2020-04-12,Jaipur,1743
2020-04-13,Jaipur,1404
2020-04-14,Jaipur,1907
2020-04-15,Jaipur,1685
2020-04-16,Jaipur,1808
2020-04-17,Jaipur,1924
2020-04-18,Jaipur,2049
2020-04-19,Jaipur,2338
2020-04-20,Jaipur,1295
2020-04-21,Jaipur,1805
2020-04-22,Jaipur,1402
2020-04-23,Jaipur,1729
2020-04-24,Jaipur,1714
2020-04-25,Jaipur,1879
2020-04-26,Jaipur,1974
2020-04-27,Jaipur,1479
2020-04-28,Jaipur,1441
2020-04-29,Jaipur,1958
2020-04-30,Jaipur,1646
2020-05-01,Jaipur,1600
2020-05-02,Jaipur,2082
2020-05-03,Jaipur,2268
2020-05-04,Jaipur,1621
2020-05-05,Jaipur,1946
2020-05-06,Jaipur,1452
2020-05-07,Jaipur,1647
2020-05-08,Jaipur,1438
2020-05-09,Jaipur,2161
2020-05-10,Jaipur,2163
2020-05-11,Jaipur,1716
2020-05-12,Jaipur,1418
2020-05-13,Jaipur,1527
2020-05-14,Jaipur,1691
2020-05-15,Jaipur,1787
2020-05-16,Jaipur,1557
2020-05-17,Jaipur,2299
2020-05-18,Jaipur,1760
2020-05-19,Jaipur,1567
2020-05-20,Jaipur,1722
2020-05-21,Jaipur,1566
2020-05-22,Jaipur,1803
